Update README.md, 38279022, 40, 8, 40
Update README.md  fix typo, 38279022, 40, 8, 40
Initial checkin of 3-in-1 Dock maker files, 38279022, 40, 8, 40
Update README.md, 38279022, 40, 8, 40
Initial commit, 38279022, 40, 8, 40
Merge branch 'master' of https://github.com/Microsoft/AADConnectConfigDocumenter.git, 57305206, 27, 7, 27
Added capability to define table sizes (standard large and huge)., 57305206, 27, 7, 27
Minor updates to ReadMe.md, 57305206, 27, 7, 27
Minor updates to ReadMe.md, 57305206, 27, 7, 27
attributeInfo Null object check for any misconfig as reported in GitHub Issue #4 for directory schema extension, 57305206, 27, 7, 27
Fixed issue where the "Selected Attributes" section of a connector may display incorrect attribute type information., 57305206, 27, 7, 27
Variablized $syncRuleId and $syncRulePrecedence to improve portability of sync rule changes script., 57305206, 27, 7, 27
Code refactoring syncup with MIMConfigDocumenter., 57305206, 27, 7, 27
minor updates to ReadMe wiki., 57305206, 27, 7, 27
minor highlighting in ReadMe wiki., 57305206, 27, 7, 27
Merge branch 'master' of https://github.com/Microsoft/AADConnectConfigDocumenter.git, 57305206, 27, 7, 27
Added support for GSQL GLDAP WebServices connectors. Additional code refactoring., 57305206, 27, 7, 27
Updated with notes on how to "prep" the files if the connector names don't match between enviorments, 57305206, 27, 7, 27
Incremented version number., 57305206, 27, 7, 27
Fixed broken TOC Level 3 jumps, 57305206, 27, 7, 27
Code Refactoring. TOC formatting updated to make Additions /Deletions color coded., 57305206, 27, 7, 27
Merge branch 'master' of https://github.com/Microsoft/AADConnectConfigDocumenter.git, 57305206, 27, 7, 27
Bugfix in SyncRule changes script when the Expression has dependency on more than on attribute, 57305206, 27, 7, 27
Bugfix in SyncRule changes script, 57305206, 27, 7, 27
Changes to make download script functionality compatible with IE., 57305206, 27, 7, 27
Updated ReadMe.md, 57305206, 27, 7, 27
Corrected assembly version info., 57305206, 27, 7, 27
Minor improvements to the sync rule download script., 57305206, 27, 7, 27
finalised code changes for the capability to create differential sync rule scripts., 57305206, 27, 7, 27
Merge branch 'master' of https://github.com/Microsoft/AADConnectConfigDocumenter.git, 57305206, 27, 7, 27
Added capability to create differential sync rule scripts., 57305206, 27, 7, 27
minor update to ReadMe.md., 57305206, 27, 7, 27
BUGFIX for missing Outbound SR Summary sections, 57305206, 27, 7, 27
Updated ChangeLog for Version 1.16.0915.0, 57305206, 27, 7, 27
Corrected XPath condition for filtering out disabled sync rules so that it's backward compatible to the AADSync versions which did not have this capability. Also fixed the issue of Selected Attributes section not showing Import/Export status in the "Flows Configured?" column. Changes for allowing more than one instances running concurrently., 57305206, 27, 7, 27
Fixed - Active Directory connector showing false positives for inclusion / exclusion OUs in some cases., 57305206, 27, 7, 27
fixed another typo in ChangeLog.md, 57305206, 27, 7, 27
fixed typos in ChangeLog.md, 57305206, 27, 7, 27
Updated change log for v1.16.0812.0, 57305206, 27, 7, 27
Bugfix for AD Inclusion/Exclusion OU information reporting false positives in the change report in some cases. Now Sorting DN's first.  Not printing Disabled sync rules in the Metaverse Precedence section or Rules Summary sections., 57305206, 27, 7, 27
Added support to show only changes between "pilot" and "production" environment config., 57305206, 27, 7, 27
Merge branch 'master' of https://github.com/Microsoft/AADConnectConfigDocumenter.git, 57305206, 27, 7, 27
Change for proper closing of some of the html span and tr tags., 57305206, 27, 7, 27
Adding Code of Conduct info  Adding Code of Conduct, 57305206, 27, 7, 27
BUGFIX - In MV Object Type section precendence on attribute was getting sorted as string instead of int. BUGIFX - In Join Rules in Outbound sync rules the source and target attribute were swapped., 57305206, 27, 7, 27
Merge branch 'master' of https://github.com/Microsoft/AADConnectConfigDocumenter.git, 57305206, 27, 7, 27
Enhancement - Do not print the vanity row of an empty table if it appears as a deleted row in the diffram., 57305206, 27, 7, 27
Improvements to printed report header to include details of pilot/prod config used and version of the sync engine. Moved Global Settings from Metaverse Config to it's own section. BUGFIX in Selected Attribute sections to correctly list Import/Export flows. Fixed Metaverse Object Deletion Rule PrintColumn settings not to show unnecessarily update., 57305206, 27, 7, 27
Minor update to ReadMe.md, 57305206, 27, 7, 27
Updated ReadMe.md to add link to a sample report, 57305206, 27, 7, 27
Minor updates to ReadMe.md, 57305206, 27, 7, 27
Corrected the link to the "releases" tab., 57305206, 27, 7, 27
Update README.md, 57305206, 27, 7, 27
Added short Link to ReadMe, 57305206, 27, 7, 27
Updates to Usage Instructions., 57305206, 27, 7, 27
Minor Edits to ReadMe.md and ChangeLog.md., 57305206, 27, 7, 27
Baseline check-in of existing AADSyncConfigDocumenter v1.15.1030.0, 57305206, 27, 7, 27
Initial commit, 57305206, 27, 7, 27
corrected the tenon io link  corrected the tenon io link, 32419990, 7, 5, 7
Adding the Readme file  Readme, 32419990, 7, 5, 7
Source code upload  Tenon Accessibility checker source code upload to github, 32419990, 7, 5, 7
Revert "Test upload"  This reverts commit 7a933de65ea23d7db747e7657288c074c7fd4d7b., 32419990, 7, 5, 7
Test upload  Test. commit to master, 32419990, 7, 5, 7
Initial commit, 32419990, 7, 5, 7
Review and minor changes, 81911108, 36, 22, 36
Do not default to clean!!! This wipes out all generated files  that are also in git. Do not remove README.md at all as it is not a generated file., 81911108, 36, 22, 36
Review and minor changes, 81911108, 36, 22, 36
Spell check, 81911108, 36, 22, 36
Review dataset descriptions., 81911108, 36, 22, 36
Add intro and begin description of the third dataset., 81911108, 36, 22, 36
Add motivation., 81911108, 36, 22, 36
Review and refine., 81911108, 36, 22, 36
Add CreditRiskPrediction/Code/CreditRiskDeploy2.Rmd, 81911108, 36, 22, 36
update, 81911108, 36, 22, 36
Update a new version of CreditRiskScale which could build multiple models in parallel using rxExec, 81911108, 36, 22, 36
Upload the jupyter notebook for CreditRiskShinyApp, 81911108, 36, 22, 36
Update the README, 81911108, 36, 22, 36
Update CreditRiskShinyApp, 81911108, 36, 22, 36
Upload the CreditRiskShinyApp, 81911108, 36, 22, 36
Updates README, 81911108, 36, 22, 36
Updates README, 81911108, 36, 22, 36
Upload presentation at MLDSS in Korea, 81911108, 36, 22, 36
Merge branch 'master' of github.com:Microsoft/acceleratoRs, 81911108, 36, 22, 36
Rewrote SparkR data manipulation, 81911108, 36, 22, 36
A bunch of changes..., 81911108, 36, 22, 36
Remove old jupyter notebook, 81911108, 36, 22, 36
Don't need to save model, 81911108, 36, 22, 36
Uploaded the jupyter notebooks, 81911108, 36, 22, 36
upload the pre-trained fast tree model, 81911108, 36, 22, 36
Update README file, 81911108, 36, 22, 36
Updated README file, 81911108, 36, 22, 36
Update CreditRiskScale and CreditRiskDeploy, 81911108, 36, 22, 36
Updated the README file, 81911108, 36, 22, 36
Uploaded CreditRiskScale  Build faster and scalable credit risk models by using MicrosoftML., 81911108, 36, 22, 36
Upload the jupyter notebook for credit risk deploy, 81911108, 36, 22, 36
Updated the README files, 81911108, 36, 22, 36
Upload the CreditRiskDeploy  Deploy a credit risk model as a web service by using mrsdeploy, 81911108, 36, 22, 36
Merge branch 'master' of github.com:Microsoft/acceleratoRs, 81911108, 36, 22, 36
Update demo cdoes, 81911108, 36, 22, 36
Ensure {} aligned in formatting. Other minor format.  Considered changing bad_flag to target but decide not to - bad is descriptive!, 81911108, 36, 22, 36
Add library scales for comma()  Always echo dimensions on reading a dataset. Add example in-line R code. Formatting updates., 81911108, 36, 22, 36
Updated README file, 81911108, 36, 22, 36
Updates of files, 81911108, 36, 22, 36
Merge branch 'master' of github.com:Microsoft/acceleratoRs, 81911108, 36, 22, 36
Added DSVM demo with air delay prediction, 81911108, 36, 22, 36
Uploaded the ipynb for creditriskprediction, 81911108, 36, 22, 36
Uploaded the R accelerator for credit risk prediction, 81911108, 36, 22, 36
Updated the blog for education analytics, 81911108, 36, 22, 36
updated Readme, 81911108, 36, 22, 36
move R code to code folder, 81911108, 36, 22, 36
clean up, 81911108, 36, 22, 36
Updated html files for EducationAnalytics, 81911108, 36, 22, 36
add slide deck, 81911108, 36, 22, 36
Add backup files to be ignored., 81911108, 36, 22, 36
Add a generic Makefile to generate all types of documents., 81911108, 36, 22, 36
Remove FSelector - too many Java problems. Remove hard coded  reference to ZhouF file system., 81911108, 36, 22, 36
Remove placholder, 81911108, 36, 22, 36
Remove placholder, 81911108, 36, 22, 36
Merge branch 'master' of https://github.com/Microsoft/acceleratoRs, 81911108, 36, 22, 36
Updated ipynb and html accordingly, 81911108, 36, 22, 36
Merge branch 'master' of github.com:Microsoft/acceleratoRs, 81911108, 36, 22, 36
now msLanguageR instead of languageR  To avoid naming conflict with another CRAN package "languageR", 81911108, 36, 22, 36
project files, 81911108, 36, 22, 36
documentation tweak, 81911108, 36, 22, 36
refactor for RTVS compat, 81911108, 36, 22, 36
Merge pull request #1 from benmarwick/patch-1  fix a few typos, 81911108, 36, 22, 36
Added caption of framework and Github url for presentation., 81911108, 36, 22, 36
Some other text edits..., 81911108, 36, 22, 36
An html for convenience presentation., 81911108, 36, 22, 36
Text edits, 81911108, 36, 22, 36
fix a few typos  Great read thanks!, 81911108, 36, 22, 36
Updated charts, 81911108, 36, 22, 36
Added framework illustration, 81911108, 36, 22, 36
Text edits, 81911108, 36, 22, 36
Updated files, 81911108, 36, 22, 36
Table of leave reasons, 81911108, 36, 22, 36
Added exhaustive list of leave reasons., 81911108, 36, 22, 36
Added trainControl for meta model to avoid resampling issues., 81911108, 36, 22, 36
Uploaded FOSSAsia presentation, 81911108, 36, 22, 36
Updated notebook html preview, 81911108, 36, 22, 36
Aligned label with chart content., 81911108, 36, 22, 36
Updated README, 81911108, 36, 22, 36
Updated blog post, 81911108, 36, 22, 36
Added FOSSAsia meetup presentation of employee attrition prediction, 81911108, 36, 22, 36
add galaxy classification workflow, 81911108, 36, 22, 36
Added hyperlinks to data source, 81911108, 36, 22, 36
Not to exec codes containing confidential info. Generated Jupyter notebook, 81911108, 36, 22, 36
html PDF and ipynb available for R markdown, 81911108, 36, 22, 36
Polished top-level README, 81911108, 36, 22, 36
Uploaded R accelerator for Education Analytics  This is an initial version of R accelerator for Education Analytics now covering student drop out and student performance modeling., 81911108, 36, 22, 36
Text and format, 81911108, 36, 22, 36
Rewrote some text, 81911108, 36, 22, 36
Initialize the repo. Added GeneralTemplate and EmployeeAttritionPrediction use case, 81911108, 36, 22, 36
Initial commit, 81911108, 36, 22, 36
Initial commit, 81911108, 36, 22, 36
Initial commit, 81911108, 36, 22, 36
Adding a note that calls out this repo is no longer maintained, 50415500, 720, 97, 720
Adjust footer spacing, 50415500, 720, 97, 720
Footer and documentation tweaks, 50415500, 720, 97, 720
Footer tweak, 50415500, 720, 97, 720
Footer tweak, 50415500, 720, 97, 720
Merge documentation into master branch, 50415500, 720, 97, 720
0.1.2, 50415500, 720, 97, 720
Expose ace.android.startActivity to JS  Cutting down on the app code needed, 50415500, 720, 97, 720
Merge pull request #59 from frederikbosch/patch-4  onInitializeFailed AND String.prototype.startsWith, 50415500, 720, 97, 720
onInitializeFailed AND String.prototype.startsWith, 50415500, 720, 97, 720
Merge pull request #56 from frederikbosch/patch-3  Upgrade fs-extra to latest version, 50415500, 720, 97, 720
Merge pull request #55 from frederikbosch/patch-2  Remove alert, 50415500, 720, 97, 720
0.1.1, 50415500, 720, 97, 720
Fixes #57: Array extensions shouldn't be enumerable, 50415500, 720, 97, 720
Upgrade fs-extra to latest version, 50415500, 720, 97, 720
Remove alert  We should not use `alert`. Error popups in production apps is not what we want. For debugging purposes `adb logcat` and similar is the tools we need., 50415500, 720, 97, 720
Merge pull request #53 from frederikbosch/patch-1  Fixes #37, 50415500, 720, 97, 720
Fixes #37, 50415500, 720, 97, 720
0.1.0, 50415500, 720, 97, 720
Fix for iOS Cordova version check  Older environments don’t have __CORDOVA_4_0_0 defined resulting in a build error., 50415500, 720, 97, 720
0.0.17, 50415500, 720, 97, 720
iOS: Fix DatePicker.getDate & TimePicker.getTime (the rest of the fix for #49), 50415500, 720, 97, 720
iOS: Fix DatePicker.setDate & TimePicker.setTime (partial fix for #49), 50415500, 720, 97, 720
0.0.16, 50415500, 720, 97, 720
Fixes #35: Doesn't work with Cordova Lib 4.0.1+  shouldOverrideLoadWithRequest must return true for normal HTML requests although on earlier versions it must still return false!, 50415500, 720, 97, 720
Merge pull request #41 from frederikbosch/progressive-enhancement  Progressive enhancement for supported devices, 50415500, 720, 97, 720
return true for android kitkat and newer, 50415500, 720, 97, 720
